Country,Code,latitude,longitude
Falkland Islands,FLK,-51.796253,-59.523613
Faroe Islands,FRO,61.892635,-6.911806
Felvidék,,,
Fiji,FJI,-16.578193,179.414413
Finland,FIN,61.92411,25.748151
France,FRA,46.227638,2.213749
French Guiana,GUF,3.933889,-53.125782
Frøya,,,
Gabon,GAB,-0.803689,11.609444
Galicia,,,
Gambia,GMB,13.443182,-15.310139
Georgia,GEO,42.315407,43.356892
German DR,,,
Germany,DEU,51.165691,10.451526
Ghana,GHA,7.946527,-1.023194
Gibraltar,GIB,36.137741,-5.345374
Gotland,,,
Gozo,,,
Great Britain,,,
Greece,GRC,39.074208,21.824312
Greenland,GRL,71.706936,-42.604303
Grenada,GRD,12.262776,-61.604171
Guadeloupe,GLP,16.995971,-62.067641
Guam,GUM,13.444304,144.793731
Guatemala,GTM,15.783471,-90.230759
Guernsey,GGY,49.465691,-2.585278
Guinea,GIN,9.945587,-9.696645
Guinea-Bissau,GNB,11.803749,-15.180413
Guyana,GUY,4.860416,-58.93018
Găgăuzia,,,
Haiti,HTI,18.971187,-72.285215
Hitra,,,
Honduras,HND,15.199999,-86.241905
Hong Kong,HKG,22.396428,114.109497
Hungary,HUN,47.162494,19.503304
Iceland,ISL,64.963051,-19.020835
India,IND,20.593684,78.96288
India N,,,
India S,,,
Indonesia,IDN,-0.789275,113.921327
Iran,IRN,32.427908,53.688046
Iraq,IRQ,33.223191,43.679291
Iraqi Kurdistan,,,
Isle of Man,IMN,54.236107,-4.548056
Isle of Wight,,,
Israel,ISR,31.046051,34.851612
Italy,ITA,41.87194,12.56738
Ivory Coast,CIV,7.539989,-5.54708
Jamaica,JAM,18.109581,-77.297508
Japan,JPN,36.204824,138.252924
Jersey,JEY,49.214439,-2.13125
Jordan,JOR,30.585164,36.238414
Kabylia,,,
Kazakhstan,KAZ,48.019573,66.923684
Kenya,KEN,-0.023559,37.906193
Kernow,,,
Kiribati,KIR,-3.370417,-168.734039
Kosovo,KSV,42.602636,20.902977
Kuwait,KWT,29.31166,47.481766
Kyrgyzstan,KGZ,41.20438,74.766098
Kárpátalja,,,
Laos,LAO,19.85627,102.495496
Latvia,LVA,56.879635,24.603189
Lebanon,LBN,33.854721,35.862285
Lesotho,LSO,-29.609988,28.233608
Liberia,LBR,6.428055,-9.429499
Libya,LBY,26.3351,17.228331
Liechtenstein,LIE,47.166,9.555373
Lithuania,LTU,55.169438,23.881275
Luxembourg,LUX,49.815273,6.129583
Macau,MAC,22.198745,113.543873
Macedonia,,41.608635,21.745275
Madagascar,MDG,-18.766947,46.869107
Madrid,,,
Malawi,MWI,-13.254308,34.301525
Malaysia,MYS,4.210484,101.975766
Maldives,MDV,3.202778,73.22068
Mali,MLI,17.570692,-3.996166
Malta,MLT,35.937496,14.375416
Manchukuo,,,
Martinique,MTQ,14.641528,-61.024174
Matabeleland,,,
Mauritania,MRT,21.00789,-10.940835
Mauritius,MUS,-20.348404,57.552152
Mayotte,MYT,-12.8275,45.166244
Menorca,,,
Mexico,MEX,23.634501,-102.552784
Micronesia,FSM,7.425554,150.550812
Moldova,MDA,47.411631,28.369885
Monaco,MCO,43.750298,7.412841
Mongolia,MNG,46.862496,103.846656
Montenegro,MNE,42.708678,19.37439
Montserrat,MSR,16.742498,-62.187366
Morocco,MAR,31.791702,-7.09262
Mozambique,MOZ,-18.665695,35.529562
Myanmar,MMR,21.913965,95.956223
Namibia,NAM,-22.95764,18.49041
Nepal,NPL,28.394857,84.124008
Netherlands,NLD,52.132633,5.291266
Netherlands Antilles,ANT,12.226079,-69.060087
New Caledonia,NCL,-20.904305,165.618042
New Zealand,NZL,-40.900557,174.885971
Nicaragua,NIC,12.865416,-85.207229
Niger,NER,17.607789,8.081666
Nigeria,NGA,9.081999,8.675277
Niue,NIU,-19.054445,-169.867233
North Korea,PRK,40.339852,127.510093
North Macedonia,MKD,,
North Vietnam,,,
Northern Cyprus,,,
Northern Ireland,,,
Northern Mariana Islands,MNP,17.33083,145.38469
Norway,NOR,60.472024,8.468946
Occitania,,,
Oman,OMN,21.512583,55.923255
Orkney,,,
Padania,,,
Pakistan,PAK,30.375321,69.345116
Palau,PLW,7.51498,134.58252
Palestine,PSE,31.952162,35.233154
Panama,PAN,8.537981,-80.782127
Panjab,,,
Papua New Guinea,PNG,-6.314993,143.95555
Paraguay,PRY,-23.442503,-58.443832
Parishes of Jersey,,,
Peru,PER,-9.189967,-75.015152
Philippines,PHL,12.879721,121.774017
Poland,POL,51.919438,19.145136
Portugal,PRT,39.399872,-8.224454
Provence,,,
Puerto Rico,PRI,18.220833,-66.590149
Qatar,QAT,25.354826,51.183884
Raetia,,,
Republic of Ireland,IRL,53.41291,-8.24389
Republic of St. Pauli,,,
Rhodes,,,
Romani people,,,
Romania,ROU,45.943161,24.96676
Russia,RUS,61.52401,105.318756
Rwanda,RWA,-1.940278,29.873888
Réunion,REU,-21.115141,55.536384
Saare County,,,
Saarland,,,
Saint Helena,SHN,-24.143474,-10.030696
Saint Kitts and Nevis,KNA,17.357822,-62.782998
Saint Lucia,LCA,13.909444,-60.978893
Saint Martin,MAF,,
Saint Pierre and Miquelon,SPM,46.941936,-56.27111
Saint Vincent and the Grenadines,VCT,12.984305,-61.287228
Samoa,WSM,-13.759029,-172.104629
San Marino,SMR,43.94236,12.457777
Sark,,,
Saudi Arabia,SAU,23.885942,45.079162
Scotland,SCO,55.953251,-3.188267
Senegal,SEN,14.497401,-14.452362
Serbia,SRB,44.016521,21.005859
Serbia and Montenegro,SRB,,
Seychelles,SYC,-4.679574,55.491977
Shetland,,,
Sierra Leone,SLE,8.460555,-11.779889
Silesia,,,
Singapore,SGP,1.352083,103.819836
Sint Maarten,SXM,,
Slovakia,SVK,48.669026,19.699024
Slovenia,SVN,46.151241,14.995463
Solomon Islands,SLB,-9.64571,160.156194
Somalia,SOM,5.152149,46.199616
Somaliland,,,
South Africa,ZAF,-30.559482,22.937506
South Korea,KOR,35.907757,127.766922
South Ossetia,,,
South Sudan,SSD,,
Spain,ESP,40.463667,-3.74922
Sri Lanka,LKA,7.873054,80.771797
Sudan,SDN,12.862807,30.217636
Suriname,SUR,3.919305,-56.027783
Surrey,,,
Sweden,SWE,60.128161,18.643501
Switzerland,CHE,46.818188,8.227512
Syria,SYR,34.802075,38.996815
Székely Land,,,
Sápmi,,,
São Tomé and Príncipe,STP,0.18636,6.613081
Tahiti,,,
Taiwan,TWN,23.69781,120.960515
Tajikistan,TJK,38.861034,71.276093
Tamil Eelam,,,
Tanzania,TZA,-6.369028,34.888822
Thailand,THA,15.870032,100.992541
Tibet,,,
Timor-Leste,TLS,-8.874217,125.727539
Togo,TGO,8.619543,0.824782
Tonga,TON,-21.178986,-175.198242
Trinidad and Tobago,TTO,10.691803,-61.222503
Tunisia,TUN,33.886917,9.537499
Turkey,TUR,38.963745,35.243322
Turkmenistan,TKM,38.969719,59.556278
Turks and Caicos Islands,TCA,21.694025,-71.797928
Tuvalu,TUV,-7.109535,177.64933
Two Sicilies,,,
U.S. Virgin Islands,VIR,18.335765,-64.896335
Uganda,UGA,1.373333,32.290275
Ukraine,UKR,48.379433,31.16558
UAE,ARE,23.424076,53.847818
United Koreans in Japan,,,
USA,USA,37.09024,-95.712891
Uruguay,URY,-32.522779,-55.765835
Uzbekistan,UZB,41.377491,64.585262
Vanuatu,VUT,-15.376706,166.959158
Vatican City,,41.902916,12.453389
Venezuela,VEN,6.42375,-66.58973
Vietnam,VNM,14.058324,108.277199
Vietnam Republic,,,
Wales,WAL,51.481583,-3.17909
Wallis Islands and Futuna,WLF,-13.768752,-177.156097
Western Armenia,,,
Western Australia,,,
Western Isles,,,
Western Sahara,ESH,24.215527,-12.885834
Yemen,YEM,15.552727,48.516388
Yemen DPR,YDR,,
Ynys Môn,,,
Yorkshire,,,
Yugoslavia,SER,,
Zambia,ZMB,-13.133897,27.849332
Zanzibar,,,
Zimbabwe,ZWE,-19.015438,29.154857
Åland Islands,ALA,,
